IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
120058272,WEAPON LAWS,POSS OF PROHIBITED WEAPON,Friday,01/29/2016 12:00:00 AM,11:00,DAGORETTI,"ARREST, BOOKED",800 Block of BRYANT ST,36.82170868,-1.27877108,"(37.775420706711, -122.403404791479)",1.2E+13
120058272,WEAPON LAWS,"FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE",Friday,01/29/2016 12:00:00 AM,11:00,DAGORETTI,"ARREST, BOOKED",800 Block of BRYANT ST,36.82170868,-1.27877108,"(37.775420706711, -122.403404791479)",1.2E+13
160147073,VEHICLE THEFT,STOLEN MOTORCYCLE,Thursday,02/18/2016 12:00:00 AM,22:00,EMBAKASI,UNFOUNDED,BROADWAY ST / GOUGH ST,36.79286957,-1.309319012,"(37.7953163162613, -122.426702502506)",1.6E+13
160802233,NON-CRIMINAL,LOST PROPERTY,Monday,10/03/2016 00:00,01:18,DAGORETTI,NONE,800 Block of MARKET ST,36.82170868,-1.27877108,"(37.784253176872, -122.407902468508)",1.61E+13
141059263,WARRANTS,WARRANT ARREST,Monday,04/25/2016 12:00:00 AM,14:59,KAMUKUNJI,"ARREST, BOOKED",KEITH ST / SHAFTER AV,36.85466766,-1.275338705,"(37.7299809672996, -122.388856204292)",1.41E+13
160013662,NON-CRIMINAL,LOST PROPERTY,Tuesday,01/05/2016 00:00,23:50,KIBRA,NONE,JONES ST / OFARRELL ST,36.79286957,-1.309319012,"(37.7857883766888, -122.412970537591)",1.6E+13
160791896,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,09/29/2016 12:00:00 AM,14:40,LANGATA,NONE,700 Block of STANYAN ST,36.80488586,-1.351193098,"(37.7686969786551, -122.453512911126)",1.61E+13
160733246,ASSAULT,BATTERY,Friday,09/09/2016 00:00,17:09,EMBAKASI,NONE,400 Block of HAIGHT ST,36.79286957,-1.309319012,"(37.7722642986091, -122.429644614552)",1.61E+13
160009718,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,01/04/2016 00:00,16:20,KAMUKUNJI,JUVENILE BOOKED,500 Block of HAMILTON ST,36.85466766,-1.275338705,"(37.7242919300111, -122.408707633915)",1.6E+13
160002740,NON-CRIMINAL,LOST PROPERTY,Friday,01/01/2016 00:00,00:30,MAKADARA,NONE,16TH ST / MISSION ST,36.87252045,-1.297305824,"(37.7650501214668, -122.419671780296)",1.6E+13
